"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
3,5,2,2,1,2,1,2,60,NA,1,1,2,1,1,1,1,1,29341,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,1,1,6797,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,28331,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,1,1,20602,2019
1,4,2,2,2,1,2,2,10,NA,2,1,2,1,2,2,2,2,14481,2019
8,2,2,1,2,2,2,2,60,NA,2,1,2,2,1,1,1,1,15942,2019
3,2,2,1,2,2,2,2,60,NA,NA,1,2,1,2,2,2,1,9759,2019
4,3,2,1,2,2,2,2,60,NA,2,2,2,2,2,2,2,2,38995,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,1,1,32913,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,2,2,25099,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,2,1,2,2,32577,2019
1,4,2,2,2,1,2,2,15,NA,2,1,2,2,NA,NA,NA,NA,34741,2019
2,3,2,2,2,1,1,2,30,NA,1,1,1,1,1,1,1,1,26055,2019
20,4,2,1,2,1,2,2,30,NA,1,2,1,1,1,1,1,1,40507,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,2,2,1,1,1,1,27776,2019
1,4,2,2,1,2,2,2,10,NA,2,1,2,1,1,1,1,1,17873,2019
2,4,2,2,1,2,2,2,15,NA,2,1,2,1,1,1,1,2,7859,2019
4,4,2,2,2,1,1,2,30,NA,2,1,2,1,1,1,1,1,23083,2019
3,3,2,2,2,2,1,2,40,NA,2,1,2,1,1,1,1,1,20969,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,NA,1,1,1,1,21317,2019
3,3,2,2,2,2,1,2,40,NA,2,1,2,1,1,1,1,1,31452,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,1,1,2,19210,2019
3,6,2,2,2,1,1,2,20,NA,1,2,2,1,2,1,1,1,20864,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27818,2019
2,5,2,2,1,2,2,2,20,NA,2,2,2,2,NA,NA,NA,NA,20864,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,2,2,1,1,1,2,13055,2019
3,3,2,2,2,1,1,2,40,NA,2,2,2,2,1,1,1,1,6421,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,11700,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,2,2,2,11650,2019
3,3,2,2,2,1,1,2,30,NA,2,2,2,2,1,1,1,1,15092,2019
5,2,2,1,2,1,1,2,40,NA,2,1,2,2,1,1,1,1,25393,2019
2,4,2,2,2,1,1,2,30,NA,2,1,2,1,1,1,1,1,19344,2019
3,4,2,2,1,1,2,2,20,NA,2,1,2,2,1,1,1,1,17439,2019
2,4,2,2,2,1,2,2,20,NA,2,2,2,2,1,1,1,1,16524,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,1,1,1,16524,2019
1,1,2,1,2,2,2,2,30,NA,2,2,1,1,1,1,1,1,20198,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,1,1,22234,2019
1,5,2,2,2,2,2,1,30,NA,2,1,1,1,2,1,1,2,54971,2019
3,4,2,2,1,2,2,2,15,NA,1,2,2,1,2,1,2,2,11852,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,2,NA,1,1,1,10231,2019
3,4,2,2,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,20198,2019
6,3,2,2,1,1,1,2,90,NA,2,2,2,2,2,2,2,2,28346,2019
2,4,2,1,2,2,2,2,15,NA,1,1,1,1,1,1,1,1,42962,2019
5,4,2,2,2,1,1,2,60,NA,2,1,1,1,1,1,1,1,13589,2019
2,4,2,2,2,2,1,2,30,NA,2,2,2,2,1,1,1,1,26735,2019
8,4,2,2,2,2,1,2,120,NA,1,2,2,1,1,1,1,2,7126,2019
2,4,2,2,2,2,1,2,20,NA,2,1,1,1,1,1,1,1,36788,2019
1,4,2,2,2,2,1,2,60,NA,2,2,2,1,2,1,1,2,15256,2019
3,6,2,2,2,1,1,2,10,NA,1,1,1,1,1,1,2,1,15256,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18413,2019
1,5,2,2,1,2,2,2,5,NA,2,1,1,1,2,1,1,1,36826,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,14024,2019
1,3,2,2,1,2,2,2,30,NA,2,2,2,1,1,1,1,1,10638,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,2,12909,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,2,2,2,1,2,1,43877,2019
3,4,2,2,1,1,2,2,120,NA,2,1,2,1,2,1,2,1,28955,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,2,1,2,1,1,1,31113,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,2,1,1,1,28552,2019
3,3,2,2,2,1,1,2,40,NA,2,1,2,1,1,1,1,1,13700,2019
3,2,1,2,2,2,2,2,120,NA,2,2,2,2,2,1,2,2,13561,2019
3,3,2,2,1,2,2,2,30,NA,2,2,2,1,1,1,1,1,19274,2019
2,4,2,2,1,2,2,2,120,NA,1,2,2,1,2,1,2,1,13163,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,39895,2019
1,4,2,2,2,2,1,2,20,NA,2,2,2,2,1,1,1,1,13638,2019
2,4,2,2,1,2,2,2,20,NA,2,2,2,1,1,1,1,1,14812,2019
2,5,1,2,1,2,2,2,30,NA,2,2,2,1,2,1,1,2,16319,2019
2,4,2,2,1,1,2,2,30,NA,2,2,2,1,1,1,1,1,25571,2019
3,4,2,2,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,19780,2019
2,4,2,2,1,1,2,2,20,NA,2,2,2,1,1,1,1,1,14241,2019
3,4,2,1,2,1,2,2,40,NA,2,2,1,1,2,2,2,2,28668,2019
1,5,2,2,1,2,2,2,60,NA,2,1,1,1,2,2,1,1,17572,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,17832,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,8752,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,1,1,10576,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,13294,2019
3,4,2,1,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,8065,2019
2,4,2,2,1,1,2,2,60,NA,2,2,1,1,1,1,1,1,21598,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,2,2,28675,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,16679,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7358,2019
3,4,2,2,1,1,2,2,45,NA,1,1,1,1,2,2,2,2,16862,2019
5,3,2,1,2,1,2,2,30,NA,1,1,1,1,2,2,2,2,27879,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,27879,2019
3,4,2,2,1,2,2,2,30,NA,2,1,2,1,2,2,1,1,12870,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,23326,2019
4,2,2,1,2,2,2,2,45,NA,1,1,1,1,1,1,1,1,23170,2019
5,2,2,1,2,2,2,2,60,NA,1,1,1,1,1,1,1,1,30892,2019
2,1,1,2,2,2,2,2,60,NA,2,2,2,1,1,1,1,1,18018,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,14265,2019
3,4,2,2,2,1,1,2,45,NA,2,1,2,1,2,2,2,2,24519,2019
6,4,2,2,2,1,1,2,120,NA,2,2,2,1,1,2,1,2,18018,2019
5,1,1,1,2,2,2,2,45,NA,1,1,1,1,1,1,1,1,18012,2019
4,4,2,1,2,1,2,2,40,NA,2,2,2,1,2,2,2,2,22266,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,8317,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,2,1,28362,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,14970,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,18908,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,21115,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,2,2,2,10486,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,16777,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,1,1,18076,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,1,2,19899,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,32799,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,14859,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,2,2,2,29717,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,7429,2019
1,4,2,2,2,1,2,2,60,NA,2,1,1,1,1,1,1,1,5594,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,4809,2019
3,4,1,2,1,2,1,2,30,NA,2,2,2,2,2,2,2,2,14758,2019
4,4,2,2,2,1,2,2,60,NA,2,1,1,1,1,2,2,2,11591,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,1,2,11315,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21795,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14530,2019
2,5,2,2,1,2,2,2,30,NA,2,2,2,1,1,1,1,1,7022,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,1,1,1,1,6907,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,2,2,2,2,7595,2019
2,4,2,2,2,1,2,2,45,NA,1,2,2,1,1,1,1,1,17988,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,1,1,2,12936,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,1,1,1,1,1,1,1,25873,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,NA,2,2,2,10760,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,1,1,1,12382,2019
3,4,2,2,2,1,2,2,120,NA,2,2,2,1,2,1,1,2,22290,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6165,2019
1,5,2,2,1,2,2,2,20,NA,2,2,2,2,2,2,2,2,6313,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,2,2,14686,2019
3,4,2,1,2,2,2,2,60,NA,2,1,1,1,1,1,2,2,51974,2019
1,4,2,2,1,2,2,2,60,NA,2,1,2,1,2,1,1,2,52569,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,1,1,1,2,86623,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,1,2,23828,2019
1,4,2,2,1,2,2,2,60,NA,1,2,2,2,1,1,1,2,6618,2019
2,4,2,2,2,1,2,2,30,NA,2,1,1,1,2,1,2,2,12349,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,10482,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,1,1,1,1,5959,2019
1,4,2,2,2,2,1,2,15,NA,2,1,1,2,2,2,2,1,15916,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,NA,NA,2,18315,2019
2,3,2,2,2,2,1,2,120,NA,2,1,2,1,1,2,1,1,42866,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,1,1,1,17357,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,2,14858,2019
2,4,2,2,2,2,1,2,60,NA,1,1,1,1,1,1,1,2,9366,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,2,2,17132,2019
10,1,2,1,2,2,2,2,60,NA,2,1,2,1,1,1,1,NA,9133,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,1,1,1,1,24857,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,2,2,27314,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,2,2,2,2,2,2,27314,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,2,1,1,1,1,1,1,22116,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,1,1,1,1,17079,2019
1,3,2,1,2,2,2,2,15,NA,1,1,1,1,1,1,1,1,25620,2019
9,2,2,1,2,2,1,2,30,NA,1,1,1,1,1,1,1,2,53086,2019
2,4,2,2,2,1,2,2,40,NA,2,1,1,1,2,1,1,1,18957,2019
1,4,2,2,1,2,2,2,60,NA,2,2,2,2,1,1,1,1,12723,2019
17,4,2,1,1,1,2,2,60,NA,1,1,1,1,1,1,1,1,34556,2019
10,4,2,2,2,1,2,2,90,NA,1,1,1,1,1,1,1,1,30219,2019
1,3,2,2,1,2,2,2,30,NA,2,2,2,2,2,2,2,2,10002,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,2,1,1,1,1,1,1,17588,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,22923,2019
10,4,2,1,2,1,1,2,60,NA,1,1,1,1,1,1,1,1,33835,2019
2,4,2,2,2,2,1,2,60,NA,2,1,2,2,2,2,1,2,11214,2019
1,4,2,2,1,2,2,2,30,NA,2,2,2,2,2,1,1,2,5216,2019
3,1,2,1,2,2,2,2,40,NA,1,1,1,1,1,NA,1,1,27811,2019
15,6,2,2,2,1,2,2,15,NA,2,1,2,1,1,1,1,2,14407,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,NA,NA,NA,NA,13906,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,1,1,1,1,1,10433,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,2,2,2,1,2,25588,2019
2,5,2,1,1,2,2,2,30,NA,2,2,2,2,2,1,2,2,18423,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,1,1,2,10601,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,1,1,1,1,11636,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,NA,1,1,1,11124,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,1,1,2,11124,2019
2,4,2,2,1,1,2,2,15,NA,2,1,1,1,1,1,1,1,18245,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,1,1,1,1,2,1,5067,2019
2,5,2,2,1,2,2,2,60,NA,2,1,1,1,2,1,1,2,21765,2019
3,2,2,1,2,2,2,2,30,NA,2,2,2,1,1,NA,1,1,31565,2019
2,3,2,1,1,2,2,2,20,NA,2,2,2,2,2,2,2,2,21104,2019
1,4,2,1,2,2,2,2,10,NA,2,2,2,2,2,2,1,2,5986,2019
3,4,2,2,2,1,2,2,40,NA,1,2,2,1,1,1,2,1,13438,2019
2,3,2,2,1,2,2,2,30,NA,1,1,1,1,2,1,1,1,20157,2019
1,4,2,2,1,2,2,2,20,NA,2,2,2,2,2,1,1,2,19417,2019
1,3,2,2,1,2,2,2,10,NA,2,1,1,1,1,1,2,2,12733,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,1,2,1,1,1,38713,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,2,1,2,1,21581,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23731,2019
8,4,2,1,1,2,2,2,20,NA,2,1,1,1,2,2,2,2,20364,2019
1,4,2,2,1,2,2,2,15,NA,1,1,2,1,2,1,2,2,10181,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,16088,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,1,1,1,1,20833,2019
2,4,1,2,1,2,2,2,45,NA,1,1,1,1,1,1,1,1,16088,2019
10,1,2,1,2,2,2,2,30,NA,1,1,1,1,1,1,1,1,15244,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,1,1,2,1,1,1,32441,2019
2,4,1,2,2,2,1,2,20,NA,1,2,1,1,2,1,2,1,15710,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,2,2,2,1,1,2,2,15551,2019
4,3,2,2,2,2,1,2,60,NA,1,1,1,2,2,1,2,2,11666,2019
1,4,2,2,2,1,2,2,5,NA,1,2,2,1,1,1,1,1,15613,2019
13,4,2,1,2,2,2,2,10,NA,NA,NA,NA,1,2,2,1,2,16176,2019
1,4,2,2,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,15613,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,1,1,11712,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,1,1,1,1,6542,2019
1,2,2,1,2,2,2,2,60,NA,2,2,2,1,1,1,2,1,29356,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,2,2,1,1,2,22781,2019
3,4,2,2,2,1,2,2,60,NA,1,1,1,1,1,1,1,1,13420,2019
3,4,1,2,2,1,2,2,10,NA,2,2,2,2,1,1,1,1,12003,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,2,1,1,1,30210,2019
3,4,2,2,2,1,2,2,60,NA,1,1,2,1,1,1,1,1,21585,2019
2,4,2,2,2,1,2,2,30,NA,2,2,2,2,2,2,2,2,11991,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,2,2,2,2,1,2,1,5995,2019
50,1,2,1,2,2,2,2,180,NA,2,2,2,2,2,1,1,1,12215,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,2,1,2,1,1,1,11066,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,2,1,2,2,12681,2019
3,4,1,2,1,2,1,2,60,NA,2,1,1,1,1,1,1,1,12681,2019
1,4,2,2,1,2,2,2,30,NA,2,2,2,2,2,1,2,2,14210,2019
3,2,2,1,2,2,1,2,60,NA,2,2,1,1,2,1,2,2,40523,2019
1,5,2,2,1,2,2,2,60,NA,2,1,1,1,2,1,1,2,6706,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,2,2,2,1,1,2,15369,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,1,1,1,2,23586,2019
3,4,2,2,2,1,2,2,60,NA,2,2,2,2,2,1,2,2,38627,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,1,2,1,1,1,15434,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,15347,2019
1,4,2,2,1,2,2,2,15,NA,2,2,2,2,2,1,1,2,7572,2019
7,4,2,2,2,1,1,2,45,NA,2,1,1,1,2,1,2,2,14897,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,2,1,2,2,5897,2019
1,4,2,1,2,2,2,2,60,NA,1,1,1,1,1,1,1,1,40717,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,2,2,2,9183,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,6183,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,2,1,1,1,13774,2019
1,4,2,2,2,1,2,2,20,NA,2,1,1,1,1,1,1,1,5382,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19225,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,2,1,2,2,1,2,2,15928,2019
4,1,2,2,1,2,1,2,20,NA,1,1,1,1,1,1,1,1,15861,2019
1,5,2,2,1,2,2,2,40,NA,2,1,1,1,2,1,1,2,27568,2019
3,6,2,2,1,2,1,2,30,NA,2,1,2,1,NA,1,1,1,6892,2019
2,3,2,2,1,2,2,2,60,NA,2,1,2,1,NA,2,1,2,14101,2019
5,2,2,2,2,1,2,2,30,NA,2,2,1,2,1,1,1,1,47904,2019
2,4,2,2,1,2,1,2,120,NA,2,2,2,2,2,1,2,2,7983,2019
3,3,2,2,2,1,2,2,30,NA,2,1,2,2,2,1,1,1,27748,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,2,1,1,1,15920,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30361,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16420,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,2,NA,NA,1,2,15180,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7331,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,2,1,1,1,1,14423,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,15877,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,2,1,1,1,1,13085,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,16751,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,18463,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,2,1,1,1,1,18463,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6512,2019
2,4,2,2,1,1,2,2,45,NA,2,2,2,2,2,1,2,2,7044,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,13660,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,16289,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,1,2,1,2,1,1,1,23152,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,1,1,1,2,1,1,1,15435,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,1,2,1,1,1,14120,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,2,24272,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,1,1,2,1,2,19634,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,1,2,NA,NA,30036,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1,1,1,1,1,1,1,1,22113,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,1,2,1,2,8538,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,2,2,16181,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,2,29234,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,25617,2019
1,1,2,2,2,2,1,2,30,NA,1,1,1,1,1,1,1,1,28697,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,2,19950,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,1,2,15499,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,1,1,1,1,1,17761,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,21406,2019
2,1,1,2,2,2,2,2,60,NA,2,2,2,2,1,1,1,1,15633,2019
2,3,1,2,2,2,2,2,30,NA,1,1,1,1,1,1,1,1,25475,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16736,2019
1,5,2,2,1,2,2,2,15,NA,2,1,1,2,2,1,2,2,6025,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,2,2,1,2,13808,2019
3,3,2,2,2,1,2,2,30,NA,2,2,2,2,2,1,1,1,12633,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35038,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,11488,2019
4,2,1,1,2,2,2,2,60,NA,1,1,1,1,1,2,1,1,19321,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,2,2,1,6588,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,1,1,1,1,1,19402,2019
4,1,1,2,2,2,2,2,40,NA,2,1,1,1,1,1,1,1,25469,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,1,2,1,22737,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,2,1,2,15634,2019
1,3,2,2,1,2,2,2,20,NA,1,2,2,1,1,1,1,1,14218,2019
20,3,2,2,1,2,2,2,60,NA,2,1,2,1,2,1,1,2,7619,2019
1,5,2,2,1,2,2,2,60,NA,2,1,2,2,2,1,2,2,17799,2019
2,4,2,2,2,1,2,2,20,NA,1,1,2,2,1,1,1,1,13656,2019
2,3,2,2,1,1,2,2,30,NA,2,1,1,1,1,1,1,1,27196,2019
1,4,2,2,2,2,1,2,30,NA,2,2,2,2,1,2,1,1,15290,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,1,1,1,1,1,1,20156,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,2,2,1,1,2,22935,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,7119,2019
4,5,2,2,1,2,2,2,45,NA,2,2,2,2,1,1,1,1,12706,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,1,2,1,1,1,1,14780,2019
4,2,2,1,1,2,2,2,60,NA,2,1,2,1,2,1,1,2,28010,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,1,1,2,31286,2019
1,5,2,2,1,2,2,2,60,NA,2,1,1,2,2,1,2,2,7821,2019
