"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,2,2,2,19952,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,1,NA,1,2,2,11222,2019
4,3,2,2,2,1,1,2,30,NA,2,2,2,2,1,2,2,1,15586,2019
12,4,2,2,1,2,2,2,30,NA,2,2,2,2,1,1,2,2,6358,2019
2,3,2,1,2,2,2,2,30,NA,1,2,2,1,1,1,1,1,5793,2019
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,1,2,2,1,1,1,1,28383,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,2,1,NA,NA,16137,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,2,2,1,2,2,16813,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,2,2,2,17005,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,NA,2,2,25507,2019
1,5,2,2,1,2,2,2,15,NA,2,2,2,2,1,1,1,2,17946,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,NA,1,2,2,31851,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,1,1,1,1,14005,2019
3,6,2,2,2,1,2,2,15,NA,2,1,1,1,2,1,1,2,15372,2019
2,4,2,2,2,1,2,2,90,NA,2,2,2,2,NA,1,2,2,13802,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,2,2,6901,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,24328,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,2,2,1,21141,2019
3,1,2,1,2,1,2,2,80,NA,1,2,1,1,1,1,1,1,17802,2019
1,6,2,2,2,1,2,2,10,NA,2,2,2,2,2,2,2,2,16219,2019
5,3,2,2,2,1,2,2,30,NA,2,2,2,2,1,1,1,1,24833,2019
2,3,2,2,1,2,2,2,15,NA,2,2,1,1,1,1,1,1,24377,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,1,1,19019,2019
2,1,2,1,2,2,2,2,20,NA,1,2,1,1,1,1,1,1,6917,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,2,2,2,2,2,12074,2019
3,4,1,2,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,6947,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,1,1,2,2,16260,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,2,1,1,2,2,13293,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,16790,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,1,2,2,46207,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,18483,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2,1,2,1,1,1,2,2,17847,2019
2,4,1,2,1,2,2,2,40,NA,1,1,1,1,1,1,1,1,22779,2019
5,2,2,1,2,2,2,2,40,NA,1,1,2,1,2,2,2,2,7625,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1,1,2,1,1,1,1,1,8274,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,1,1,2,2,15282,2019
3,3,2,2,2,2,1,2,60,NA,2,2,2,2,1,2,2,2,15282,2019
2,1,1,2,2,2,2,2,25,NA,2,1,2,1,1,1,2,1,34096,2019
1,3,1,2,2,2,2,2,20,NA,2,2,2,2,2,2,2,2,18783,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,2,2,2,16080,2019
